Company_id,Current_assets,Cost_of_goods_sold,Depreciation_and_amortization,EBITDA,Inventory,Net_income,Total_receivables,Market_value,Net_sales,Total_assets,Total_long_term_debt,EBIT,Gross_profit,Total_current_liabilities,Retained_earnings,Total_revenue,Total_liabilities,Total_operating_expenses,Bankrupt
C_3,6.494,15.7,0.761,0.381,3.488,-1.738,2.677,2.9667,24.051,8.635,3.873,-0.38,8.351,2.045,-8.922,24.051,5.918,23.67,0
C_6,6540.0,19419.0,1404.0,-456.0,822.0,-1762.0,1414.0,3445.0155,18963.0,32841.0,9834.0,-1860.0,-456.0,7512.0,4042.0,18963.0,27468.0,19419.0,1
C_8,189.471,125.059,11.6,44.563,48.423,21.354,49.409,626.535,232.808,310.252,11.428,32.963,107.749,37.097,29.89,232.808,55.131,188.245,0
C_12,34.617,104.017,3.165,5.766,13.184,0.812,11.964,15.1588,117.326,90.941,35.163,2.601,13.309,24.589,18.274,117.326,68.162,111.56,0
C_14,90.558,148.628,0.909,7.759,37.818,4.245,41.5,65.1701,178.154,105.173,0.671,6.85,29.526,35.299,37.242,178.154,35.97,170.395,1
C_20,199.305,4715.132,6.726,-5.784,10.004,-4.569,167.556,32.9004,4717.242,227.027,11.475,-12.51,2.11,168.971,27.081,4717.242,187.831,4723.026,1
C_21,11.243,19.353,1.063,2.269,6.098,0.271,4.73,12.2816,27.183,15.857,1.61,1.206,7.83,9.375,3.092,27.183,10.985,24.914,0
C_22,2353.109,1959.979,622.867,660.815,380.474,-60.581,659.783,5400.3776,3891.754,5647.242,672.945,37.948,1931.775,1313.937,1662.433,3891.754,2092.187,3230.939,0
C_27,17.727,58.777,0.666,3.041,9.921,1.278,5.876,9.534,70.958,22.903,3.467,2.375,12.181,6.506,3.56,70.958,11.803,67.917,0
C_29,3.785,5.01,0.417,-2.622,1.219,-2.995,2.45,10.028,9.135,9.781,0.0,-3.039,4.125,2.735,-50.944,9.135,3.112,11.757,0
C_31,20.678,31.208,4.569,10.389,11.114,9.754,7.559,64.2284,57.605,64.287,17.125,5.82,26.397,5.446,61.66,57.605,25.112,47.216,0
C_34,3817.0,9999.0,893.0,1945.0,1950.0,5.0,1748.0,11530.0089,12626.0,17479.0,2884.0,1052.0,2627.0,3535.0,3944.0,12626.0,8556.0,10681.0,0
C_35,9.019,8.817,2.742,5.33,2.476,1.781,2.849,58.41,21.989,21.865,0.0,2.588,13.172,3.37,3.903,21.989,3.491,16.659,0
C_36,2514.637,3078.31,178.568,379.319,299.776,15.205,1812.063,1101.2426,5273.479,6290.992,1965.716,200.751,2195.169,2265.126,419.668,5273.479,4895.414,4894.16,0
C_38,16.472,82.203,1.631,0.455,2.982,3.714,8.398,24.035,95.844,36.709,6.812,-1.176,13.641,20.912,6.308,95.844,28.727,95.389,1
C_40,61.345,37.998,6.946,16.611,23.247,16.066,12.635,200.7825,54.609,179.134,46.705,9.665,16.611,7.691,105.249,54.609,66.508,37.998,0
C_43,257.93,282.032,21.214,31.015,124.026,-1.823,112.46,258.6125,394.601,511.956,140.53,9.801,112.569,95.133,39.005,394.601,253.312,363.586,0
C_46,9894.0,17268.0,723.0,3471.0,3355.0,-99.0,3620.0,27562.1501,23652.0,24226.0,4731.0,2748.0,6384.0,6220.0,9449.0,23652.0,15056.0,20181.0,0
C_53,151.428,449.608,33.902,29.086,58.193,-37.131,64.408,71.618,529.373,458.69,170.296,-4.816,79.765,132.74,41.5,529.373,343.178,500.287,1
